,count/time,eventName,timestamp,username
202,1051,time event,2018-09-19 13:52:03.069613,aaa
203,33,time event,2018-09-19 13:52:03.117322,aaa
205,1917,time event,2018-09-20 00:39:09.755869,aaa
206,1532,time event,2018-09-20 00:39:12.153321,aaa
207,114,time event,2018-09-20 00:39:21.586786,aaa
208,2,search event,2018-09-19 13:54:31.546296,bbb
209,1233,scroll_down event,2018-09-19 13:55:49.432926,bbb
210,342,scroll_up event,2018-09-19 13:55:36.966863,bbb
211,540,time event,2018-09-19 13:52:47.590800,bbb
212,1437,time event,2018-09-19 13:52:49.021326,bbb
213,3,star click event,2018-09-19 13:55:20.099817,bbb
214,4158,time event,2018-09-19 13:52:53.388601,bbb
215,24663,time event,2018-09-19 13:53:17.895980,bbb
216,373,time event,2018-09-19 13:53:18.222330,bbb
217,2071,time event,2018-09-19 13:53:20.378700,bbb
218,533,time event,2018-09-19 13:53:20.878005,bbb
219,1030,time event,2018-09-19 13:53:22.075002,bbb
221,1493,time event,2018-09-19 13:53:25.443049,bbb
222,2902,time event,2018-09-19 13:53:28.882277,bbb
223,684,time event,2018-09-19 13:53:29.568911,bbb
224,1246,time event,2018-09-19 13:53:31.000199,bbb
225,5160,time event,2018-09-19 13:53:36.161351,bbb
227,2759,time event,2018-09-19 13:53:42.365329,bbb
228,1245,time event,2018-09-19 13:53:43.594709,bbb
229,1645,time event,2018-09-19 13:53:45.242592,bbb
230,459,time event,2018-09-19 13:53:45.705451,bbb
231,100,time event,2018-09-19 13:53:45.868154,bbb
232,1407,time event,2018-09-19 13:53:47.447464,bbb
233,1069,time event,2018-09-19 13:53:48.450657,bbb
234,874,time event,2018-09-19 13:53:49.325846,bbb
235,966,time event,2018-09-19 13:53:50.490115,bbb
236,286,time event,2018-09-19 13:53:50.798125,bbb
237,328,time event,2018-09-19 13:53:50.939203,bbb
238,382,time event,2018-09-19 13:54:02.420071,bbb
239,749,time event,2018-09-19 13:54:18.023324,bbb
240,252,time event,2018-09-19 13:54:18.237860,bbb
241,559,time event,2018-09-19 13:54:18.788683,bbb
242,1027,time event,2018-09-19 13:54:38.868958,bbb
243,1369,time event,2018-09-19 13:54:40.225986,bbb
